[[43.647358, -79.381042], 1]
[[43.647361, -79.376792], 1]
[[43.647367, -79.392095], 1]
[[43.647377, -79.394042], 1]
[[43.647394, -79.395898], 1]
[[43.647402, -79.395487], 1]
[[43.647422, -79.376587], 1]
[[43.64743, -79.395539], 1]
[[43.647444, -79.385703], 1]
[[43.647488, -79.381395], 1]
[[43.6475, -79.385925], 1]
[[43.64752, -79.39089], 1]
[[43.647536, -79.376612], 1]
[[43.647552, -79.384698], 1]
[[43.647574, -79.390617], 1]
[[43.647591, -79.377525], 1]
[[43.647594, -79.39142], 1]
[[43.647594, -79.385978], 1]
[[43.647597, -79.384698], 1]
[[43.647622, -79.384156], 1]
[[43.647659, -79.373484], 1]
[[43.647661, -79.380581], 1]
[[43.647674, -79.380544], 1]
[[43.647683, -79.384706], 1]
[[43.647686, -79.377587], 1]
[[43.647707, -79.390242], 1]
[[43.64775, -79.39471], 1]
[[43.647769, -79.378312], 1]
[[43.647775, -79.385942], 1]
[[43.647777, -79.378889], 1]
[[43.647841, -79.375412], 1]
[[43.647872, -79.386192], 1]
[[43.647872, -79.381089], 1]
[[43.6479, -79.3808], 1]
[[43.647905, -79.376886], 1]
[[43.647908, -79.396081], 1]
[[43.647931, -79.373392], 1]
[[43.647955, -79.386306], 1]
[[43.647955, -79.382357], 1]
[[43.647956, -79.378665], 1]
[[43.647972, -79.380035], 1]
[[43.647986, -79.375734], 1]
[[43.647991, -79.386392], 1]
[[43.647991, -79.377159], 1]
[[43.647994, -79.396181], 1]
[[43.647999, -79.388667], 1]
[[43.648004, -79.388667], 1]
[[43.648009, -79.378547], 1]
[[43.64803, -79.393945], 1]
[[43.648033, -79.37535], 1]
[[43.64807, -79.380748], 1]
[[43.648083, -79.378998], 1]
[[43.648091, -79.385567], 1]
[[43.648125, -79.381048], 1]
[[43.648177, -79.386239], 1]
[[43.648205, -79.375642], 1]
[[43.648239, -79.38625], 1]
[[43.648245, -79.380169], 1]
[[43.648277, -79.386245], 1]
[[43.64828, -79.374746], 1]
[[43.648316, -79.387062], 1]
[[43.648327, -79.37148], 1]
[[43.64833, -79.39016], 1]
[[43.648347, -79.383956], 1]
[[43.648388, -79.380254], 1]
[[43.648394, -79.386262], 1]
[[43.648394, -79.386231], 1]
[[43.648402, -79.374114], 1]
[[43.648403, -79.374113], 1]
[[43.648427, -79.396573], 1]
[[43.648455, -79.386627], 1]
[[43.648527, -79.381309], 1]
[[43.648541, -79.378662], 1]
[[43.648544, -79.386475], 1]
[[43.648544, -79.373924], 1]
[[43.648575, -79.386659], 1]
[[43.648583, -79.380189], 1]
[[43.64861, -79.380347], 1]
[[43.648636, -79.396467], 1]
[[43.648636, -79.386603], 1]
[[43.648666, -79.373542], 1]
[[43.648707, -79.371553], 1]
[[43.648711, -79.385537], 1]
[[43.648712, -79.396436], 1]
[[43.648761, -79.386681], 1]
[[43.648772, -79.380234], 1]
[[43.648777, -79.37365], 1]
[[43.648789, -79.377981], 1]
[[43.648813, -79.379181], 1]
[[43.648819, -79.392075], 1]
[[43.64882, -79.379279], 1]
[[43.648823, -79.386316], 1]
[[43.648872, -79.379906], 1]
[[43.648875, -79.396441], 1]
[[43.64888, -79.3789], 1]
[[43.648888, -79.395266], 1]
[[43.648888, -79.363612], 1]
[[43.648913, -79.390009], 1]
[[43.64893, -79.386337], 1]
[[43.648963, -79.378066], 1]
[[43.648975, -79.38533], 1]
[[43.648983, -79.391695], 1]
[[43.649, -79.382], 1]
[[43.649016, -79.395503], 1]
[[43.649016, -79.385178], 1]
[[43.649078, -79.380286], 1]
[[43.649083, -79.395872], 1]
[[43.649113, -79.395081], 1]
[[43.64913, -79.384598], 1]
[[43.649152, -79.372181], 1]
[[43.649158, -79.379234], 1]
[[43.649188, -79.395203], 1]
[[43.649191, -79.386859], 1]
[[43.649197, -79.372131], 1]
[[43.649203, -79.381942], 1]
[[43.649219, -79.394523], 1]
[[43.649219, -79.371645], 1]
[[43.649245, -79.377654], 1]
[[43.649269, -79.372328], 1]
[[43.649275, -79.39522], 1]
[[43.649308, -79.372892], 1]
[[43.649325, -79.389923], 1]
[[43.649341, -79.386598], 1]
[[43.649341, -79.386181], 1]
[[43.649346, -79.376436], 1]
[[43.649363, -79.39135], 1]
[[43.64938, -79.382378], 1]
[[43.649383, -79.377303], 1]
